F9B15DCBC8 (rsp+238)  - 000002764BA47EE4     - (pointer)2764BA47EE4
F9B15DCBD0 (rsp+240)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCBD8 (rsp+248)  - 000000000000FFFF     - (qword)000000000000FFFF(65535)
F9B15DCBE0 (rsp+250)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCBE8 (rsp+258)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCBF0 (rsp+260)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCBF8 (rsp+268)  - 0000453DFC3CC86B     - (qword)0000453DFC3CC86B(76132527163499)
F9B15DCC00 (rsp+270)  - 0000000000000001     - (qword)0000000000000001(1)
F9B15DCC08 (rsp+278)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCC10 (rsp+280)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCC18 (rsp+288)  - 000000000000311C     - (qword)000000000000311C(12572)
F9B15DCC20 (rsp+290)  - 00000000FFFFFFFF     - (qword)00000000FFFFFFFF(4294967295)
F9B15DCC28 (rsp+298)  - 00007FF8EDC6F661     - (pointer)halo1.dll+ABF661
F9B15DCC30 (rsp+2A0)  - 0000000000000001     - (qword)0000000000000001(1)
F9B15DCC38 (rsp+2A8)  - 00007FF8EFD08A2C     - (pointer)halo1.dll+2B58A2C
F9B15DCC40 (rsp+2B0)  - 0000000000000004     - (qword)0000000000000004(4)
F9B15DCC48 (rsp+2B8)  - 000002764BDE53E2     - (pointer)2764BDE53E2
F9B15DCC50 (rsp+2C0)  - 000000003C887AF9     - (float)0.02
F9B15DCC58 (rsp+2C8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCC60 (rsp+2D0)  - 0000000000000001     - (qword)0000000000000001(1)
F9B15DCC68 (rsp+2D8)  - 0000000000000004     - (qword)0000000000000004(4)
F9B15DCC70 (rsp+2E0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCC78 (rsp+2E8)  - 00007FF8EDC70A74     - (pointer)halo1.dll+AC0A74
F9B15DCC80 (rsp+2F0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCC88 (rsp+2F8)  - 0000000000000001     - (qword)0000000000000001(1)
F9B15DCC90 (rsp+300)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCC98 (rsp+308)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCCA0 (rsp+310)  - 7FFF7FFF00000004     - (qword)7FFF7FFF00000004(9223231295071453188)
F9B15DCCA8 (rsp+318)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCCB0 (rsp+320)  - 7FFF7FFF1C1C1C1C     - (qword)7FFF7FFF1C1C1C1C(9223231295543057436)
F9B15DCCB8 (rsp+328)  - 00000045677F9C84     - (qword)00000045677F9C84(298089159812)
F9B15DCCC0 (rsp+330)  - 00000045677F9C8F     - (qword)00000045677F9C8F(298089159823)
F9B15DCCC8 (rsp+338)  - 7FFF7FFF7FFF7FFF     - (qword)7FFF7FFF7FFF7FFF(9223231297218904063)
F9B15DCCD0 (rsp+340)  - 3FD4B00C00000800     - (double)0.32
F9B15DCCD8 (rsp+348)  - 00000000BE44EBF6     - (float)-0.19
F9B15DCCE0 (rsp+350)  - 3F80000000000000     - (double)0.01
F9B15DCCE8 (rsp+358)  - 0000FFFF00010001     - (qword)0000FFFF00010001(281470681808897)
F9B15DCCF0 (rsp+360)  - FFFFFFFF00000000     - (qword)FFFFFFFF00000000(18446744069414584320)
F9B15DCCF8 (rsp+368)  - FFFFFFFFFFFFFFFF     - (qword)FFFFFFFFFFFFFFFF(18446744073709551615)
F9B15DCD00 (rsp+370)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD08 (rsp+378)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD10 (rsp+380)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD18 (rsp+388)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD20 (rsp+390)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD28 (rsp+398)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD30 (rsp+3A0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD38 (rsp+3A8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD40 (rsp+3B0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD48 (rsp+3B8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD50 (rsp+3C0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD58 (rsp+3C8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD60 (rsp+3D0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD68 (rsp+3D8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD70 (rsp+3E0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD78 (rsp+3E8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD80 (rsp+3F0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD88 (rsp+3F8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCD90 (rsp+400)  - 0000453DFC3CCF5B     - (qword)0000453DFC3CCF5B(76132527165275)
F9B15DCD98 (rsp+408)  - 0000000000000000     - (qword)0000000000000000(0)
